id,sex,year,yearborn,age,cohort,offspring,breedingsuccess,weight,morph,indhet,pesL,pesR,headlength,parentgensim,paternity,maternity
8BD0A,M,2019,2017,2,MFWS,0,0,NA,Fawn,0.321,NA,NA,NA,0.29713467,FC42B,BF9FC
8BD0A,M,2020,2017,3,MFWS,0,0,NA,Fawn,0.321,NA,NA,NA,0.29713467,FC42B,BF9FC
8F1D7,F,2019,2018,1,Surrey Hills,0,0,0.643,Fawn,0.428,51.25,50.6,83.7,NA,TasInd,TasInd
8F1D7,F,2020,2018,2,Surrey Hills,0,0,NA,Fawn,0.428,NA,NA,NA,NA,TasInd,TasInd
94A21,M,2019,2018,1,MFWS,0,0,0.91,Fawn,0.286,55.7,54.2,91.5,0.315186246,FD4E9,FD54D
94A21,M,2020,2018,2,MFWS,0,0,NA,Fawn,0.286,NA,NA,NA,0.315186246,FD4E9,FD54D
94AEC,M,2019,2018,1,MFWS,1,1,0.975,Black,0.314,54.1175,54.435,86.2325,0.204011461,F5B5E,FD54D
94AEC,M,2020,2018,2,MFWS,1,1,1.185,Black,0.314,55.4,55.1,82.2,0.204011461,F5B5E,FD54D
94B62,M,2019,2018,1,MFWS,0,0,NA,Black,0.282,NA,NA,NA,0.315186246,FD4E9,FD54D
94B62,M,2020,2018,2,MFWS,0,0,NA,Black,0.282,NA,NA,NA,0.315186246,FD4E9,FD54D
94B64,F,2019,2018,1,Surrey Hills,0,0,0.65,Fawn,0.222,48.65,48.65,73.7,NA,TasInd,TasInd
94B64,F,2020,2018,2,Surrey Hills,0,0,0.678,Fawn,0.222,48.04,47.96,80.1,NA,TasInd,TasInd
94BD9,M,2020,2019,1,MFWS,0,0,NA,Black,0.312,52.8,54,90,0.238681948,F5B5E,AD30A
94C36,F,2020,2019,1,MFWS,2,1,0.578,Fawn,0.399,48.65,48,79.95,NA,F1041,94FF7
94D44,F,2019,2018,1,MFWS,0,0,0.64,Black,0.313,44.59,44.7,80.77,0.210315186,F5B5E,FD3E9
94D44,F,2020,2018,2,MFWS,0,0,NA,Black,0.313,NA,NA,NA,0.210315186,F5B5E,FD3E9
94FF7,F,2019,2018,1,MFWS,1,1,0.694,Fawn,0.416,51.55,52.675,85.33333333,NA,0DC56,FD3E9
